CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
1088,M,36,25200.0,14,J,P
1097,W,45,26610.78,14,J,P
1102,M,49,24700.0,13,J,P
1104,W,45,15951.0,13,J,P
1106,M,47,28114.45,13,J,P
1113,W,65,21099.91,13,W,P
1117,M,48,23800.0,14,J,A
1119,W,63,25727.39,13,W,P
1131,W,57,28600.0,13,J,P
1155,M,45,22400.0,14,C,P
1158,M,55,35826.0,14,J,P
1160,M,41,20009.08,14,G,R
1167,M,49,18000.0,12,J,P
1172,M,54,19151.34,13,J,P
1194,M,57,24000.0,12,S,R
1212,W,56,24178.0,14,J,P
1229,W,43,15353.0,13,J,P
1242,M,50,38748.0,12,J,P
1246,W,62,18850.0,13,J,P
1254,M,67,20800.0,13,J,P
1269,M,51,24375.0,13,J,P
1273,W,68,16526.64,13,W,P
1295,M,38,15600.0,13,J,P
1296,M,41,29848.0,13,J,P
1298,W,41,14604.0,12,C,R
1300,M,64,6801.96,12,J,P
1308,W,47,17232.0,12,J,P
1319,W,37,24206.0,13,J,P
1321,W,62,9338.0,14,J,P
1338,M,49,18872.0,14,G,P
1355,W,45,26000.0,13,G,P
1372,M,43,15984.0,12,D,P
1374,M,40,26364.0,13,J,P
1377,M,59,30602.0,13,S,A
1378,M,42,28000.0,14,J,P
1382,W,48,13800.0,12,J,P
1383,M,43,24000.0,12,J,P
1387,M,56,16185.0,13,J,P
1425,W,62,10400.0,13,J,A
1429,M,60,42000.0,12,C,P
1437,M,71,27313.0,13,J,P
1447,M,46,12000.0,12,J,P
1459,W,60,19500.0,13,J,P
1460,M,66,12792.0,13,D,A
1507,M,73,55560.0,12,J,R
1573,M,59,27924.0,12,J,P
1576,M,37,14187.32,14,C,A
1588,W,45,46572.0,12,J,P
1618,M,62,40056.0,12,J,P
1623,M,54,25900.0,14,J,P
1641,M,52,19448.0,13,J,P
1649,M,49,19500.0,13,J,P
1659,M,49,20800.0,13,D,P
1671,W,58,23400.0,13,J,P
1682,M,49,19500.0,13,S,P
1692,M,48,20800.0,13,J,P
1694,M,39,22100.0,13,J,P
1731,W,60,31200.0,13,J,P
1765,M,39,30506.0,14,J,P
1780,W,49,19032.0,13,J,P
1782,M,51,25200.0,14,S,X
1826,M,68,18193.37,13,J,A
1839,M,65,21450.0,13,J,P
1843,W,41,26780.0,13,J,A
1853,M,50,23088.0,13,J,P
1868,W,57,14027.0,13,J,P
1888,W,52,21606.0,13,J,P
1907,W,40,24700.0,13,G,P
1921,M,55,36400.0,13,J,P
1933,W,54,11900.0,14,S,P
1951,M,61,48189.96,12,J,P
1956,M,65,26000.0,13,J,P
1966,M,39,11676.0,12,G,A
1969,W,45,20440.0,14,G,A
1982,W,47,850.0,13,J,P
1997,M,51,9880.0,13,G,A
2011,M,42,18252.0,12,G,R
2027,M,58,18200.0,13,J,R
2042,W,65,24700.0,13,J,P
2052,W,57,15400.0,14,J,P
2061,W,46,18304.0,13,G,R
2072,M,50,30800.0,14,J,P
2102,W,43,20540.0,13,J,P
2108,W,40,28000.0,14,G,R
2111,M,47,23660.0,14,J,P
2124,W,42,10439.0,13,J,P
2136,W,58,22722.0,14,J,P
2137,M,54,35000.0,14,J,P
2152,W,73,12233.0,13,W,P
2157,W,55,43414.0,14,J,P
2171,M,61,14612.0,13,J,P
2189,M,62,19799.0,13,J,P
2194,W,56,16991.0,13,J,P
2195,M,38,18200.0,14,C,P
2219,W,46,18200.0,13,J,P
2222,M,44,32500.0,13,J,P
2243,M,71,21970.0,13,J,P
2259,M,53,18200.0,13,J,P
2261,W,52,20300.0,14,J,P
2270,M,54,24869.0,13,J,P
2274,M,38,22100.0,13,C,P
2284,W,40,14300.0,13,C,P
2294,M,46,16900.0,13,J,R
2308,M,72,10699.0,13,J,R
2310,W,59,23421.58,13,J,P
2322,M,55,12298.0,13,D,P
2323,W,46,12818.0,13,D,A
2324,M,43,15600.0,12,C,R
2332,M,36,31200.0,13,J,P
2340,M,62,19743.23,13,J,R
2368,M,44,20254.0,13,J,P
2390,M,34,15340.0,13,G,A
2393,W,46,9855.82,13,J,A
2400,M,49,19813.69,13,J,P
2417,M,61,21000.0,14,J,P
2425,W,55,27456.0,13,G,T
2437,M,44,22100.0,13,G,P
2443,W,58,19124.82,13,J,P
2446,M,73,18499.0,13,J,P
2450,W,48,14300.0,13,J,P
2492,M,41,45402.0,14,S,R
2504,W,73,13372.45,13,J,P
2525,M,50,9702.0,12,J,P
2556,W,36,15340.0,13,G,R
2565,W,54,34300.0,14,D,P
2566,W,58,28000.0,14,J,P
2569,M,43,20579.0,13,G,A
2576,M,68,16100.0,14,J,R
2635,M,52,11713.0,13,J,P
2662,M,42,22100.0,13,J,A
2679,M,38,12740.0,13,J,P
2684,W,50,22400.0,14,D,P
2704,W,50,15600.0,13,S,P
2705,M,56,23400.0,13,D,P
2710,W,57,12000.0,12,G,P
2713,M,56,23439.0,13,J,P
2744,M,66,30000.0,12,C,A
2802,M,42,31798.0,13,J,A
2809,M,35,23127.0,13,J,R
2825,M,36,19500.0,13,G,R
2885,M,58,30000.0,12,G,P
2921,M,45,17368.0,13,J,P
2922,M,59,35798.0,14,D,A
2925,W,53,18200.0,14,G,P
2933,W,57,15600.0,13,G,P
2934,M,42,25571.0,13,J,P
2946,M,70,18421.0,13,J,P
2950,W,61,16800.0,14,G,R
2961,W,56,9373.0,13,J,P
2962,M,40,25200.0,14,J,P
2995,W,62,44148.0,13,C,P
3012,W,59,8450.0,13,J,P
3029,W,51,10500.0,14,C,P
3059,M,69,15600.0,13,J,P
3067,M,56,21000.0,14,W,P
3089,M,43,20553.0,13,G,P
3103,M,48,18200.0,14,J,P
3124,M,54,25718.0,14,J,P
3162,M,62,27300.0,13,J,P
3169,M,43,23400.0,13,J,P
3183,W,44,21450.0,13,J,P
3188,W,47,21552.0,12,C,R
3192,W,45,17640.0,14,G,P
3197,M,64,43550.0,13,J,P
3203,W,50,26832.0,13,D,P
3220,M,55,20940.0,12,J,P
3223,M,47,24726.0,13,J,P
3236,W,42,15302.0,14,G,P
3240,W,63,12805.0,13,J,A
3243,M,45,26000.0,13,J,P
3245,W,44,9380.0,14,J,P
3265,M,55,29094.0,13,J,P
3266,W,53,16302.0,13,J,P
3280,M,61,26780.0,13,J,P
3282,M,44,22488.0,12,J,P
3292,W,55,16900.0,13,G,R
3296,W,59,21000.0,14,G,P
3297,M,34,20800.0,13,J,P
3321,W,59,18200.0,13,J,P
3331,M,50,19506.11,13,J,P
3337,M,48,24375.0,13,J,P
3343,M,55,28196.0,14,J,P
3368,M,62,15600.0,13,J,P
3385,M,62,24999.0,13,J,P
3409,W,54,19929.0,13,J,P
3414,M,70,10010.0,13,J,P
3445,M,45,21320.0,13,G,P
3456,W,72,14300.0,13,G,P
3461,M,51,22400.0,14,C,P
3472,M,50,14400.0,12,J,P
3474,M,53,26600.0,14,D,A
3480,M,65,18850.0,13,J,P
3507,M,53,24050.0,13,J,P
3522,M,44,26091.0,13,J,P
3537,M,39,20112.0,12,J,P
3543,M,64,19500.0,13,J,R
3548,W,60,18200.0,14,J,P
3557,M,69,15600.0,13,J,P
3566,M,58,23800.0,14,J,P
3568,M,44,22100.0,13,J,P
3572,M,40,22498.0,14,G,A
3581,W,56,11544.0,13,J,P
3587,M,73,7930.0,13,J,P
3590,M,36,18200.0,13,J,A
3592,M,50,44212.0,14,G,P
3594,W,48,7350.0,14,J,R
3629,M,60,46701.0,12,J,A
3646,M,71,23777.0,13,J,P
3652,W,40,18330.0,13,G,P
3675,M,56,1661.0,13,G,P
3681,M,52,26600.0,14,J,P
3683,W,45,240000.0,12,G,E
3691,M,63,17238.0,13,J,P
3693,M,58,16120.0,13,J,P
3702,W,50,32500.0,13,J,E
3713,M,47,20111.0,13,J,R
3715,M,50,20761.0,13,J,P
3750,M,68,10062.0,13,J,P
3762,M,65,19600.0,14,J,R
3770,M,49,24700.0,13,J,R
3773,W,52,1715.0,12,J,P
3784,W,59,21343.66,13,G,A
3812,W,65,21905.0,13,J,P
3814,W,43,17150.0,14,J,P
3827,W,54,22100.0,13,J,P
3831,M,44,35000.0,14,G,P
3835,M,52,24276.0,14,J,P
3873,W,53,18200.0,13,J,P
3885,M,48,16555.92,12,G,P
3897,M,42,13800.0,12,G,P
3920,M,43,26446.0,14,C,P
3928,M,44,22347.0,13,J,P
3935,M,64,19500.0,13,J,P
3939,W,64,37700.0,13,J,P
3952,M,59,20300.0,14,J,P
3957,M,50,72800.0,14,J,A
3981,W,54,17732.0,13,J,P
3996,M,39,56400.0,12,J,R
4014,W,43,16800.0,14,J,P
4018,W,57,15379.0,13,S,A
4024,W,42,17043.0,13,J,P
4029,M,43,21616.0,14,J,P
4040,M,47,19227.0,13,G,R
4070,M,45,25200.0,14,J,P
4071,W,56,18200.0,13,D,R
4076,M,47,17680.0,13,J,A
4083,M,72,20800.0,13,J,P
4086,M,43,23777.0,13,J,P
4096,M,61,19600.0,14,J,P
4099,M,49,0.0,0,J,A
4103,M,56,21000.0,14,J,P
4135,M,70,15600.0,13,J,P
4156,W,51,9800.0,14,S,X
4168,M,34,22932.7,14,G,R
4171,W,63,18590.0,13,J,P
4185,M,72,19500.0,13,C,P
4186,M,72,13546.0,13,G,P
4187,W,67,11310.0,13,J,P
4199,M,67,11700.0,13,J,P
4216,M,58,8799.0,12,G,P
4239,M,39,25200.0,14,C,P
4258,M,51,19370.0,13,G,P
4263,W,73,13195.0,13,J,P
4274,M,42,23100.0,14,J,P
4277,M,62,22820.0,14,J,P
4293,M,42,19487.0,13,J,P
4299,M,56,19500.0,13,J,P
4307,M,53,35100.0,13,D,P
4311,M,44,19500.0,13,J,P
4353,W,62,20800.0,13,J,P
4363,W,58,19929.0,13,J,P
4376,M,50,20272.0,14,J,P
4381,M,66,26000.0,13,G,P
4382,W,65,13000.0,13,S,P
4395,M,43,19396.0,13,C,P
4401,M,49,19502.0,14,G,R
4409,W,43,21000.0,14,J,P
