CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1088,CONCLUDED REGULARLY,FL,469.0,69.0,400.0,44.45,10,21.74882,19.84123,N,N
1088,CONCLUDED REGULARLY,FL,794.3,0.0,794.3,70.0,12,9.422,9.03804,N,N
1097,CONCLUDED REGULARLY,FL,399.0,0.0,419.0,69.85,6,8.192,0.038,N,N
1097,CONCLUDED REGULARLY,FL,1039.98,0.0,1039.98,52.0,20,0.0022,0.0022,N,N
1097,EARLY EXPIRED,CL,23500.0,3500.0,21387.86,310.0,84,6.72602,5.7609,Y,N
1102,CONCLUDED REGULARLY,FL,878.0,0.0,878.0,88.0,11,18.411,17.018,N,N
1102,CONCLUDED REGULARLY,FL,799.0,0.0,799.0,79.9,10,0.0,0.0,N,N
1102,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,39.9,10,0.0,0.0,N,N
1104,CONCLUDED REGULARLY,FL,489.98,0.0,489.98,48.99,10,0.0,0.0,N,N
1106,EARLY EXPIRED,CL,5400.0,0.0,5500.0,138.5,48,11.122,9.623,Y,N
1106,EARLY EXPIRED,FL,620.0,20.0,600.0,60.0,10,0.0,0.0,Y,N
1106,EARLY EXPIRED,PL,10000.0,0.0,10477.84,222.15,60,10.844,9.908,Y,Y
1106,CONCLUDED REGULARLY,PL,18000.0,0.0,19180.72,307.65,84,9.462,8.902,N,Y
1106,CONCLUDED REGULARLY,FL,1239.0,0.0,1279.26,127.93,10,7.26628,0.00683,N,N
1106,EARLY EXPIRED,CL,26900.0,4900.0,23199.0,334.0,36,9.06595,8.29514,Y,N
1106,CONCLUDED REGULARLY,FL,1042.0,0.0,1099.31,91.61,12,16.93646,0.00168,N,N
1106,CONCLUDED REGULARLY,FL,1299.0,0.0,1324.98,110.42,12,6.72397,0.00639,N,N
1106,EARLY EXPIRED,PL,6000.0,0.0,6120.0,118.0,60,7.84679,5.8886,Y,N
1113,CONCLUDED REGULARLY,CL,17254.0,2054.0,15400.0,256.67,60,0.485,0.0,N,N
1117,CONCLUDED REGULARLY,FL,1496.99,0.0,1496.99,149.7,10,0.00146,0.00146,N,N
1119,CONCLUDED REGULARLY,CL,12510.0,2510.0,10424.05,199.5,60,6.361,5.581,N,N
1119,EARLY EXPIRED,PL,30000.0,0.0,30450.0,368.0,120,8.66836,7.91025,N,N
1131,CONCLUDED REGULARLY,CL,9000.0,1500.0,7932.11,165.25,48,0.974,0.0,N,N
1155,CONCLUDED REGULARLY,CL,6250.0,0.0,6250.0,178.57,35,0.0,0.0,N,N
1155,CONCLUDED REGULARLY,FL,928.0,0.0,928.0,46.4,20,0.0,0.0,N,N
1158,CONCLUDED REGULARLY,CL,19370.0,7370.0,12155.0,189.5,84,8.743,8.008,N,N
1158,CONCLUDED REGULARLY,FL,1290.22,0.0,1290.22,64.51,20,0.0,0.0,N,N
1160,CONCLUDED REGULARLY,FL,1225.46,0.0,1225.46,122.55,10,0.007,0.007,N,N
1160,CONCLUDED REGULARLY,FL,814.21,0.0,814.21,48.6,18,17.27962,9.20082,N,N
1160,CONCLUDED REGULARLY,FL,1900.0,0.0,1900.0,158.33,12,3.35729,0.0,N,N
1167,CONCLUDED REGULARLY,CL,7600.0,1100.0,6695.0,165.5,48,9.003,8.652,N,N
1167,CONCLUDED REGULARLY,FL,999.0,0.0,999.0,49.95,20,0.0,0.0,N,N
1172,EARLY EXPIRED,CL,11000.0,4000.0,7322.51,151.5,60,10.062,8.858,Y,N
1172,EARLY EXPIRED,PL,10000.0,0.0,10754.72,217.55,60,8.618,7.9,Y,Y
1172,EARLY EXPIRED,PL,13000.0,0.0,13588.84,237.6,72,8.491,7.901,N,Y
1172,EARLY EXPIRED,PL,5500.0,0.0,5951.25,148.0,48,11.831,8.966,Y,N
1172,EARLY EXPIRED,PL,16000.0,0.0,17444.37,211.0,120,8.582,7.93,N,Y
1172,EARLY EXPIRED,PL,5000.0,0.0,5288.15,111.0,60,11.31517,9.4764,Y,N
1194,CONCLUDED REGULARLY,FL,1237.9,0.0,1287.41,64.37,20,4.6109,0.0,N,N
1212,CONCLUDED REGULARLY,FL,2900.0,400.0,2575.0,143.06,18,0.004,0.004,N,N
1212,CONCLUDED REGULARLY,FL,449.0,0.0,449.0,44.9,10,0.0,0.0,N,N
1229,CONCLUDED REGULARLY,CL,11700.0,0.0,11700.0,263.41,30,5.307,5.182,N,N
1229,CONCLUDED REGULARLY,FL,1199.0,0.0,1219.0,60.95,20,1.913,0.0,N,N
1229,CONCLUDED REGULARLY,FL,1018.99,0.0,1018.99,101.9,10,0.00214,0.00214,N,N
1242,CONCLUDED REGULARLY,FL,3100.0,1600.0,1536.0,66.9,24,4.377,4.291,N,N
1242,CONCLUDED REGULARLY,CL,15600.0,1100.0,14800.0,354.0,48,8.61465,6.94108,N,N
1246,CONCLUDED REGULARLY,FL,449.0,0.0,449.0,49.45,6,12.639,11.961,N,N
1246,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,39.9,10,14.62027,0.0,N,N
1246,CONCLUDED REGULARLY,FL,668.98,0.0,668.98,66.9,11,15.49894,14.49597,N,N
1246,CONCLUDED REGULARLY,FL,700.0,0.0,700.0,70.0,10,0.0,0.0,N,N
1254,CONCLUDED REGULARLY,CL,13850.0,7850.0,6155.0,265.0,24,5.807,3.165,N,N
1254,CONCLUDED REGULARLY,FL,1920.74,0.0,1920.74,90.5,24,15.63356,12.09373,N,N
1269,EARLY EXPIRED,CL,7000.0,1000.0,6300.0,196.0,36,12.23311,7.51065,N,N
1273,CONCLUDED REGULARLY,CL,700.0,0.0,700.0,33.0,24,12.848,12.149,N,N
1273,CONCLUDED REGULARLY,FL,428.0,0.0,449.4,24.97,18,4.83,0.013,N,N
1273,CONCLUDED REGULARLY,FL,607.0,0.0,607.0,30.35,22,9.70768,9.30077,N,N
1273,CONCLUDED REGULARLY,FL,1498.0,0.0,1498.0,52.3,36,14.646,14.646,N,N
1273,CONCLUDED REGULARLY,PL,6000.0,0.0,6677.55,98.2,84,8.45744,6.20284,N,N
1295,CONCLUDED REGULARLY,FL,3900.0,500.0,3478.0,208.9,18,13.788,10.013,N,N
1295,CONCLUDED REGULARLY,FL,229.0,0.0,249.0,24.9,10,20.301,0.0,N,N
1295,CONCLUDED REGULARLY,FL,623.0,0.0,623.0,62.3,10,3.42062,0.0,N,N
1295,CONCLUDED REGULARLY,PL,6500.0,0.0,6961.5,179.0,48,12.98334,10.72639,N,N
